Timestamp,User,Module,Event,Mark
2025-01-09 03:43:37,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 03:47:41,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 04:25:00,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:03:04,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:06:21,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:06:30,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:06:47,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:07:31,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:07:40,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:07:55,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:11:04,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-09 22:11:51,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-10 00:15:03,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-10 00:15:03,Client1,clipboard,"Скопировал корпоративные данные, открыто окно браузера",Высокий уровень угрозы
2025-01-10 00:19:34,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-10 00:19:44,Client1,clipboard,"Скопировал корпоративные данные, открыто окно браузера",Высокий уровень угрозы
2025-01-10 00:28:53,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-10 00:29:31,Client1,clipboard,Скопировал корпоративную информацию.,Средний уровень угрозы
2025-01-10 00:29:31,Client1,clipboard,"Скопировал корпоративные данные, открыто окно браузера",Высокий уровень угрозы
